Posting Period,Date,Document Number,Customer,Revenue Arrangement,Account,Debit,Credit,Source Document
Feb 2025,2025-02-28,NB-2025-002,Beacon Health,REV-ARR-002,2200 Deferred Revenue,1500.00,,NB-2025-002
Mar 2025,2025-03-31,NB-2025-002,Beacon Health,REV-ARR-002,4000 Subscription Revenue,,1500.00,NB-2025-002
Mar 2025,2025-03-31,NB-2025-002,Beacon Health,REV-ARR-002,2200 Deferred Revenue,1500.00,,NB-2025-002
Apr 2025,2025-04-30,NB-2025-002,Beacon Health,REV-ARR-002,4000 Subscription Revenue,,1500.00,NB-2025-002
Apr 2025,2025-04-30,NB-2025-002,Beacon Health,REV-ARR-002,2200 Deferred Revenue,1500.00,,NB-2025-002
May 2025,2025-05-31,NB-2025-002,Beacon Health,REV-ARR-002,4000 Subscription Revenue,,1500.00,NB-2025-002
May 2025,2025-05-31,NB-2025-002,Beacon Health,REV-ARR-002,2200 Deferred Revenue,1500.00,,NB-2025-002
Jun 2025,2025-06-30,NB-2025-002,Beacon Health,REV-ARR-002,4000 Subscription Revenue,,1500.00,NB-2025-002
Jun 2025,2025-06-30,NB-2025-002,Beacon Health,REV-ARR-002,2200 Deferred Revenue,1500.00,,NB-2025-002
Jul 2025,2025-07-31,NB-2025-002,Beacon Health,REV-ARR-002,4000 Subscription Revenue,,1500.00,NB-2025-002
Jul 2025,2025-07-31,NB-2025-002,Beacon Health,REV-ARR-002,2200 Deferred Revenue,1500.00,,NB-2025-002
Aug 2025,2025-08-31,NB-2025-002,Beacon Health,REV-ARR-002,4000 Subscription Revenue,,1500.00,NB-2025-002
Aug 2025,2025-08-31,NB-2025-002,Beacon Health,REV-ARR-002,2200 Deferred Revenue,1500.00,,NB-2025-002
Sep 2025,2025-09-30,NB-2025-002,Beacon Health,REV-ARR-002,4000 Subscription Revenue,,1500.00,NB-2025-002
Sep 2025,2025-09-30,NB-2025-002,Beacon Health,REV-ARR-002,2200 Deferred Revenue,1500.00,,NB-2025-002
Oct 2025,2025-10-31,NB-2025-002,Beacon Health,REV-ARR-002,4000 Subscription Revenue,,1500.00,NB-2025-002
Oct 2025,2025-10-31,NB-2025-002,Beacon Health,REV-ARR-002,2200 Deferred Revenue,1500.00,,NB-2025-002
Nov 2025,2025-11-30,NB-2025-002,Beacon Health,REV-ARR-002,4000 Subscription Revenue,,1500.00,NB-2025-002
Nov 2025,2025-11-30,NB-2025-002,Beacon Health,REV-ARR-002,2200 Deferred Revenue,1500.00,,NB-2025-002
Dec 2025,2025-12-31,NB-2025-002,Beacon Health,REV-ARR-002,4000 Subscription Revenue,,1500.00,NB-2025-002
Dec 2025,2025-12-31,NB-2025-002,Beacon Health,REV-ARR-002,2200 Deferred Revenue,1500.00,,NB-2025-002
Apr 2025,2025-04-30,NB-2025-005,Everest Fintech,REV-ARR-005,4000 Subscription Revenue,,1100.00,NB-2025-005
Apr 2025,2025-04-30,NB-2025-005,Everest Fintech,REV-ARR-005,2200 Deferred Revenue,1500.00,,NB-2025-005
May 2025,2025-05-31,NB-2025-005,Everest Fintech,REV-ARR-005,4000 Subscription Revenue,,1500.00,NB-2025-005
May 2025,2025-05-31,NB-2025-005,Everest Fintech,REV-ARR-005,2200 Deferred Revenue,1500.00,,NB-2025-005
Jun 2025,2025-06-30,NB-2025-005,Everest Fintech,REV-ARR-005,4000 Subscription Revenue,,1500.00,NB-2025-005
Jun 2025,2025-06-30,NB-2025-005,Everest Fintech,REV-ARR-005,2200 Deferred Revenue,1500.00,,NB-2025-005
Jul 2025,2025-07-31,NB-2025-005,Everest Fintech,REV-ARR-005,4000 Subscription Revenue,,1500.00,NB-2025-005
Jul 2025,2025-07-31,NB-2025-005,Everest Fintech,REV-ARR-005,2200 Deferred Revenue,1500.00,,NB-2025-005
Aug 2025,2025-08-31,NB-2025-005,Everest Fintech,REV-ARR-005,4000 Subscription Revenue,,1500.00,NB-2025-005
Aug 2025,2025-08-31,NB-2025-005,Everest Fintech,REV-ARR-005,2200 Deferred Revenue,1500.00,,NB-2025-005
Sep 2025,2025-09-30,NB-2025-005,Everest Fintech,REV-ARR-005,4000 Subscription Revenue,,1500.00,NB-2025-005
Sep 2025,2025-09-30,NB-2025-005,Everest Fintech,REV-ARR-005,2200 Deferred Revenue,1500.00,,NB-2025-005
Oct 2025,2025-10-31,NB-2025-005,Everest Fintech,REV-ARR-005,4000 Subscription Revenue,,1500.00,NB-2025-005
Oct 2025,2025-10-31,NB-2025-005,Everest Fintech,REV-ARR-005,2200 Deferred Revenue,1500.00,,NB-2025-005
Nov 2025,2025-11-30,NB-2025-005,Everest Fintech,REV-ARR-005,4000 Subscription Revenue,,1500.00,NB-2025-005
Nov 2025,2025-11-30,NB-2025-005,Everest Fintech,REV-ARR-005,2200 Deferred Revenue,1500.00,,NB-2025-005
Dec 2025,2025-12-31,NB-2025-005,Everest Fintech,REV-ARR-005,4000 Subscription Revenue,,1500.00,NB-2025-005
Dec 2025,2025-12-31,NB-2025-005,Everest Fintech,REV-ARR-005,2200 Deferred Revenue,1500.00,,NB-2025-005
May 2025,2025-05-31,NB-2025-006,Fjord Media,REV-ARR-006,4000 Subscription Revenue,,400.00,NB-2025-006
May 2025,2025-05-31,NB-2025-006,Fjord Media,REV-ARR-006,2200 Deferred Revenue,400.00,,NB-2025-006
Jun 2025,2025-06-30,NB-2025-006,Fjord Media,REV-ARR-006,4000 Subscription Revenue,,400.00,NB-2025-006
Jun 2025,2025-06-30,NB-2025-006,Fjord Media,REV-ARR-006,2200 Deferred Revenue,400.00,,NB-2025-006
Jul 2025,2025-07-31,NB-2025-006,Fjord Media,REV-ARR-006,4000 Subscription Revenue,,400.00,NB-2025-006
Jul 2025,2025-07-31,NB-2025-006,Fjord Media,REV-ARR-006,2200 Deferred Revenue,400.00,,NB-2025-006
Aug 2025,2025-08-31,NB-2025-006,Fjord Media,REV-ARR-006,4000 Subscription Revenue,,400.00,NB-2025-006
Aug 2025,2025-08-31,NB-2025-006,Fjord Media,REV-ARR-006,2200 Deferred Revenue,400.00,,NB-2025-006
Sep 2025,2025-09-30,NB-2025-006,Fjord Media,REV-ARR-006,4000 Subscription Revenue,,400.00,NB-2025-006
Sep 2025,2025-09-30,NB-2025-006,Fjord Media,REV-ARR-006,2200 Deferred Revenue,400.00,,NB-2025-006
Oct 2025,2025-10-31,NB-2025-006,Fjord Media,REV-ARR-006,4000 Subscription Revenue,,400.00,NB-2025-006
Oct 2025,2025-10-31,NB-2025-006,Fjord Media,REV-ARR-006,2200 Deferred Revenue,400.00,,NB-2025-006
Nov 2025,2025-11-30,NB-2025-006,Fjord Media,REV-ARR-006,4000 Subscription Revenue,,400.00,NB-2025-006
Nov 2025,2025-11-30,NB-2025-006,Fjord Media,REV-ARR-006,2200 Deferred Revenue,400.00,,NB-2025-006
Dec 2025,2025-12-31,NB-2025-006,Fjord Media,REV-ARR-006,4000 Subscription Revenue,,400.00,NB-2025-006
Dec 2025,2025-12-31,NB-2025-006,Fjord Media,REV-ARR-006,2200 Deferred Revenue,400.00,,NB-2025-006
Jun 2025,2025-06-30,NB-2025-007,Glacier Foods,REV-ARR-007,4000 Subscription Revenue,,100.00,NB-2025-007
Jun 2025,2025-06-30,NB-2025-007,Glacier Foods,REV-ARR-007,1100 Accounts Receivable,100.00,,NB-2025-007
Jul 2025,2025-07-31,NB-2025-007,Glacier Foods,REV-ARR-007,4000 Subscription Revenue,,100.00,NB-2025-007
Jul 2025,2025-07-31,NB-2025-007,Glacier Foods,REV-ARR-007,1100 Accounts Receivable,100.00,,NB-2025-007
Aug 2025,2025-08-31,NB-2025-007,Glacier Foods,REV-ARR-007,4000 Subscription Revenue,,100.00,NB-2025-007
Aug 2025,2025-08-31,NB-2025-007,Glacier Foods,REV-ARR-007,1100 Accounts Receivable,100.00,,NB-2025-007
Sep 2025,2025-09-30,NB-2025-007,Glacier Foods,REV-ARR-007,4000 Subscription Revenue,,100.00,NB-2025-007
Sep 2025,2025-09-30,NB-2025-007,Glacier Foods,REV-ARR-007,1100 Accounts Receivable,100.00,,NB-2025-007
Jul 2025,2025-07-31,NB-2025-008,Harbour Analytics,REV-ARR-008,4000 Subscription Revenue,,1500.00,NB-2025-008
Jul 2025,2025-07-31,NB-2025-008,Harbour Analytics,REV-ARR-008,1100 Accounts Receivable,1500.00,,NB-2025-008
Aug 2025,2025-08-31,NB-2025-008,Harbour Analytics,REV-ARR-008,4000 Subscription Revenue,,1500.00,NB-2025-008
Aug 2025,2025-08-31,NB-2025-008,Harbour Analytics,REV-ARR-008,1100 Accounts Receivable,1500.00,,NB-2025-008
Sep 2025,2025-09-30,NB-2025-008,Harbour Analytics,REV-ARR-008,4000 Subscription Revenue,,1500.00,NB-2025-008
Sep 2025,2025-09-30,NB-2025-008,Harbour Analytics,REV-ARR-008,1100 Accounts Receivable,1500.00,,NB-2025-008
Oct 2025,2025-10-31,NB-2025-008,Harbour Analytics,REV-ARR-008,4000 Subscription Revenue,,1500.00,NB-2025-008
Oct 2025,2025-10-31,NB-2025-008,Harbour Analytics,REV-ARR-008,1100 Accounts Receivable,1500.00,,NB-2025-008
Nov 2025,2025-11-30,NB-2025-008,Harbour Analytics,REV-ARR-008,4000 Subscription Revenue,,1500.00,NB-2025-008
Nov 2025,2025-11-30,NB-2025-008,Harbour Analytics,REV-ARR-008,1100 Accounts Receivable,1500.00,,NB-2025-008
Dec 2025,2025-12-31,NB-2025-008,Harbour Analytics,REV-ARR-008,4000 Subscription Revenue,,1500.00,NB-2025-008
Dec 2025,2025-12-31,NB-2025-008,Harbour Analytics,REV-ARR-008,1100 Accounts Receivable,1500.00,,NB-2025-008
Aug 2025,2025-08-31,NB-2025-009,Iron Systems,REV-ARR-009,4000 Subscription Revenue,,400.00,NB-2025-009
Aug 2025,2025-08-31,NB-2025-009,Iron Systems,REV-ARR-009,2200 Deferred Revenue,400.00,,NB-2025-009
Sep 2025,2025-09-30,NB-2025-009,Iron Systems,REV-ARR-009,4000 Subscription Revenue,,400.00,NB-2025-009
Sep 2025,2025-09-30,NB-2025-009,Iron Systems,REV-ARR-009,2200 Deferred Revenue,400.00,,NB-2025-009
Oct 2025,2025-10-31,NB-2025-009,Iron Systems,REV-ARR-009,4000 Subscription Revenue,,400.00,NB-2025-009
Oct 2025,2025-10-31,NB-2025-009,Iron Systems,REV-ARR-009,2200 Deferred Revenue,400.00,,NB-2025-009
Nov 2025,2025-11-30,NB-2025-009,Iron Systems,REV-ARR-009,4000 Subscription Revenue,,400.00,NB-2025-009
Nov 2025,2025-11-30,NB-2025-009,Iron Systems,REV-ARR-009,2200 Deferred Revenue,400.00,,NB-2025-009
Dec 2025,2025-12-31,NB-2025-009,Iron Systems,REV-ARR-009,4000 Subscription Revenue,,400.00,NB-2025-009
Dec 2025,2025-12-31,NB-2025-009,Iron Systems,REV-ARR-009,2200 Deferred Revenue,400.00,,NB-2025-009
Sep 2025,2025-09-30,NB-2025-010,Juniper SaaS,REV-ARR-010,4000 Subscription Revenue,,100.00,NB-2025-010
Sep 2025,2025-09-30,NB-2025-010,Juniper SaaS,REV-ARR-010,2200 Deferred Revenue,100.00,,NB-2025-010
Oct 2025,2025-10-31,NB-2025-010,Juniper SaaS,REV-ARR-010,4000 Subscription Revenue,,100.00,NB-2025-010
Oct 2025,2025-10-31,NB-2025-010,Juniper SaaS,REV-ARR-010,2200 Deferred Revenue,100.00,,NB-2025-010
Nov 2025,2025-11-30,NB-2025-010,Juniper SaaS,REV-ARR-010,4000 Subscription Revenue,,100.00,NB-2025-010
Nov 2025,2025-11-30,NB-2025-010,Juniper SaaS,REV-ARR-010,2200 Deferred Revenue,100.00,,NB-2025-010
Dec 2025,2025-12-31,NB-2025-010,Juniper SaaS,REV-ARR-010,4000 Subscription Revenue,,100.00,NB-2025-010
Dec 2025,2025-12-31,NB-2025-010,Juniper SaaS,REV-ARR-010,2200 Deferred Revenue,100.00,,NB-2025-010
Feb 2025,2025-02-28,NB-2025-011,Kestrel Robotics,REV-ARR-011,4000 Subscription Revenue,,400.00,NB-2025-011
Feb 2025,2025-02-28,NB-2025-011,Kestrel Robotics,REV-ARR-011,2200 Deferred Revenue,400.00,,NB-2025-011
Mar 2025,2025-03-31,NB-2025-011,Kestrel Robotics,REV-ARR-011,4000 Subscription Revenue,,400.00,NB-2025-011
Mar 2025,2025-03-31,NB-2025-011,Kestrel Robotics,REV-ARR-011,2200 Deferred Revenue,400.00,,NB-2025-011
Apr 2025,2025-04-30,NB-2025-011,Kestrel Robotics,REV-ARR-011,4000 Subscription Revenue,,400.00,NB-2025-011
Apr 2025,2025-04-30,NB-2025-011,Kestrel Robotics,REV-ARR-011,2200 Deferred Revenue,400.00,,NB-2025-011
May 2025,2025-05-31,NB-2025-011,Kestrel Robotics,REV-ARR-011,4000 Subscription Revenue,,400.00,NB-2025-011
May 2025,2025-05-31,NB-2025-011,Kestrel Robotics,REV-ARR-011,2200 Deferred Revenue,400.00,,NB-2025-011
Jun 2025,2025-06-30,NB-2025-011,Kestrel Robotics,REV-ARR-011,4000 Subscription Revenue,,400.00,NB-2025-011
Jun 2025,2025-06-30,NB-2025-011,Kestrel Robotics,REV-ARR-011,2200 Deferred Revenue,400.00,,NB-2025-011
Jul 2025,2025-07-31,NB-2025-011,Kestrel Robotics,REV-ARR-011,4000 Subscription Revenue,,400.00,NB-2025-011
Jul 2025,2025-07-31,NB-2025-011,Kestrel Robotics,REV-ARR-011,2200 Deferred Revenue,400.00,,NB-2025-011
Aug 2025,2025-08-31,NB-2025-011,Kestrel Robotics,REV-ARR-011,2200 Deferred Revenue,2400.00,,NB-2025-011 churn-forfeit
Aug 2025,2025-08-31,NB-2025-011,Kestrel Robotics,REV-ARR-011,4000 Subscription Revenue,,2400.00,NB-2025-011 churn-forfeit
Mar 2025,2025-03-31,NB-2025-012,Larch Biotech,REV-ARR-012,4000 Subscription Revenue,,1500.00,NB-2025-012
Mar 2025,2025-03-31,NB-2025-012,Larch Biotech,REV-ARR-012,2200 Deferred Revenue,1500.00,,NB-2025-012
Apr 2025,2025-04-30,NB-2025-012,Larch Biotech,REV-ARR-012,4000 Subscription Revenue,,1500.00,NB-2025-012
Apr 2025,2025-04-30,NB-2025-012,Larch Biotech,REV-ARR-012,2200 Deferred Revenue,1500.00,,NB-2025-012
May 2025,2025-05-31,NB-2025-012,Larch Biotech,REV-ARR-012,4000 Subscription Revenue,,1500.00,NB-2025-012
May 2025,2025-05-31,NB-2025-012,Larch Biotech,REV-ARR-012,2200 Deferred Revenue,1500.00,,NB-2025-012
Jun 2025,2025-06-30,NB-2025-012,Larch Biotech,REV-ARR-012,4000 Subscription Revenue,,1500.00,NB-2025-012
Jun 2025,2025-06-30,NB-2025-012,Larch Biotech,REV-ARR-012,2200 Deferred Revenue,1500.00,,NB-2025-012
Jul 2025,2025-07-31,NB-2025-012,Larch Biotech,REV-ARR-012,4000 Subscription Revenue,,1500.00,NB-2025-012
Jul 2025,2025-07-31,NB-2025-012,Larch Biotech,REV-ARR-012,2200 Deferred Revenue,1500.00,,NB-2025-012
Aug 2025,2025-08-31,NB-2025-012,Larch Biotech,REV-ARR-012,4000 Subscription Revenue,,1500.00,NB-2025-012
Aug 2025,2025-08-31,NB-2025-012,Larch Biotech,REV-ARR-012,2200 Deferred Revenue,1500.00,,NB-2025-012
Sep 2025,2025-09-30,NB-2025-012,Larch Biotech,REV-ARR-012,2200 Deferred Revenue,9000.00,,NB-2025-012 churn-refund
Sep 2025,2025-09-30,NB-2025-012,Larch Biotech,REV-ARR-012,1000 Cash,,9000.00,NB-2025-012 churn-refund
Mar 2025,2025-03-31,NB-2025-013,Meridian Data,REV-ARR-013,4100 Usage Revenue,,3200.00,NB-2025-013 usage
Mar 2025,2025-03-31,NB-2025-013,Meridian Data,REV-ARR-013,1200 Unbilled Receivable,3200.00,,NB-2025-013 usage
Apr 2025,2025-04-30,NB-2025-013,Meridian Data,REV-ARR-013,4100 Usage Revenue,,3600.00,NB-2025-013 usage
Apr 2025,2025-04-30,NB-2025-013,Meridian Data,REV-ARR-013,1200 Unbilled Receivable,3600.00,,NB-2025-013 usage
May 2025,2025-05-31,NB-2025-013,Meridian Data,REV-ARR-013,4100 Usage Revenue,,3100.00,NB-2025-013 usage
May 2025,2025-05-31,NB-2025-013,Meridian Data,REV-ARR-013,1200 Unbilled Receivable,3100.00,,NB-2025-013 usage
Jun 2025,2025-06-30,NB-2025-013,Meridian Data,REV-ARR-013,4100 Usage Revenue,,4200.00,NB-2025-013 usage
Jun 2025,2025-06-30,NB-2025-013,Meridian Data,REV-ARR-013,1200 Unbilled Receivable,4200.00,,NB-2025-013 usage
Jul 2025,2025-07-31,NB-2025-013,Meridian Data,REV-ARR-013,4100 Usage Revenue,,4800.00,NB-2025-013 usage
Jul 2025,2025-07-31,NB-2025-013,Meridian Data,REV-ARR-013,1200 Unbilled Receivable,4800.00,,NB-2025-013 usage
Aug 2025,2025-08-31,NB-2025-013,Meridian Data,REV-ARR-013,4100 Usage Revenue,,4500.00,NB-2025-013 usage
Aug 2025,2025-08-31,NB-2025-013,Meridian Data,REV-ARR-013,1200 Unbilled Receivable,4500.00,,NB-2025-013 usage
Sep 2025,2025-09-30,NB-2025-013,Meridian Data,REV-ARR-013,4100 Usage Revenue,,5300.00,NB-2025-013 usage
Sep 2025,2025-09-30,NB-2025-013,Meridian Data,REV-ARR-013,1200 Unbilled Receivable,5300.00,,NB-2025-013 usage
Oct 2025,2025-10-31,NB-2025-013,Meridian Data,REV-ARR-013,4100 Usage Revenue,,5000.00,NB-2025-013 usage
Oct 2025,2025-10-31,NB-2025-013,Meridian Data,REV-ARR-013,1200 Unbilled Receivable,5000.00,,NB-2025-013 usage
Nov 2025,2025-11-30,NB-2025-013,Meridian Data,REV-ARR-013,4100 Usage Revenue,,5600.00,NB-2025-013 usage
Nov 2025,2025-11-30,NB-2025-013,Meridian Data,REV-ARR-013,1200 Unbilled Receivable,5600.00,,NB-2025-013 usage
Dec 2025,2025-12-31,NB-2025-013,Meridian Data,REV-ARR-013,4100 Usage Revenue,,6100.00,NB-2025-013 usage
Dec 2025,2025-12-31,NB-2025-013,Meridian Data,REV-ARR-013,1200 Unbilled Receivable,6100.00,,NB-2025-013 usage
Apr 2025,2025-04-30,NB-2025-014,Nimbus Networks,REV-ARR-014,4000 Subscription Revenue,,800.00,NB-2025-014 platform-fee
Apr 2025,2025-04-30,NB-2025-014,Nimbus Networks,REV-ARR-014,1100 Accounts Receivable,800.00,,NB-2025-014 platform-fee
Apr 2025,2025-04-30,NB-2025-014,Nimbus Networks,REV-ARR-014,4100 Usage Revenue,,1500.00,NB-2025-014 usage
Apr 2025,2025-04-30,NB-2025-014,Nimbus Networks,REV-ARR-014,1200 Unbilled Receivable,1500.00,,NB-2025-014 usage
May 2025,2025-05-31,NB-2025-014,Nimbus Networks,REV-ARR-014,4000 Subscription Revenue,,800.00,NB-2025-014 platform-fee
May 2025,2025-05-31,NB-2025-014,Nimbus Networks,REV-ARR-014,1100 Accounts Receivable,800.00,,NB-2025-014 platform-fee
May 2025,2025-05-31,NB-2025-014,Nimbus Networks,REV-ARR-014,4100 Usage Revenue,,1800.00,NB-2025-014 usage
May 2025,2025-05-31,NB-2025-014,Nimbus Networks,REV-ARR-014,1200 Unbilled Receivable,1800.00,,NB-2025-014 usage
Jun 2025,2025-06-30,NB-2025-014,Nimbus Networks,REV-ARR-014,4000 Subscription Revenue,,800.00,NB-2025-014 platform-fee
Jun 2025,2025-06-30,NB-2025-014,Nimbus Networks,REV-ARR-014,1100 Accounts Receivable,800.00,,NB-2025-014 platform-fee
Jun 2025,2025-06-30,NB-2025-014,Nimbus Networks,REV-ARR-014,4100 Usage Revenue,,1650.00,NB-2025-014 usage
Jun 2025,2025-06-30,NB-2025-014,Nimbus Networks,REV-ARR-014,1200 Unbilled Receivable,1650.00,,NB-2025-014 usage
Jul 2025,2025-07-31,NB-2025-014,Nimbus Networks,REV-ARR-014,4000 Subscription Revenue,,800.00,NB-2025-014 platform-fee
Jul 2025,2025-07-31,NB-2025-014,Nimbus Networks,REV-ARR-014,1100 Accounts Receivable,800.00,,NB-2025-014 platform-fee
Jul 2025,2025-07-31,NB-2025-014,Nimbus Networks,REV-ARR-014,4100 Usage Revenue,,2100.00,NB-2025-014 usage
Jul 2025,2025-07-31,NB-2025-014,Nimbus Networks,REV-ARR-014,1200 Unbilled Receivable,2100.00,,NB-2025-014 usage
Aug 2025,2025-08-31,NB-2025-014,Nimbus Networks,REV-ARR-014,4000 Subscription Revenue,,800.00,NB-2025-014 platform-fee
Aug 2025,2025-08-31,NB-2025-014,Nimbus Networks,REV-ARR-014,1100 Accounts Receivable,800.00,,NB-2025-014 platform-fee
Aug 2025,2025-08-31,NB-2025-014,Nimbus Networks,REV-ARR-014,4100 Usage Revenue,,2400.00,NB-2025-014 usage
Aug 2025,2025-08-31,NB-2025-014,Nimbus Networks,REV-ARR-014,1200 Unbilled Receivable,2400.00,,NB-2025-014 usage
Sep 2025,2025-09-30,NB-2025-014,Nimbus Networks,REV-ARR-014,4000 Subscription Revenue,,800.00,NB-2025-014 platform-fee
Sep 2025,2025-09-30,NB-2025-014,Nimbus Networks,REV-ARR-014,1100 Accounts Receivable,800.00,,NB-2025-014 platform-fee
Sep 2025,2025-09-30,NB-2025-014,Nimbus Networks,REV-ARR-014,4100 Usage Revenue,,2250.00,NB-2025-014 usage
Sep 2025,2025-09-30,NB-2025-014,Nimbus Networks,REV-ARR-014,1200 Unbilled Receivable,2250.00,,NB-2025-014 usage
Oct 2025,2025-10-31,NB-2025-014,Nimbus Networks,REV-ARR-014,4000 Subscription Revenue,,800.00,NB-2025-014 platform-fee
Oct 2025,2025-10-31,NB-2025-014,Nimbus Networks,REV-ARR-014,1100 Accounts Receivable,800.00,,NB-2025-014 platform-fee
Oct 2025,2025-10-31,NB-2025-014,Nimbus Networks,REV-ARR-014,4100 Usage Revenue,,2600.00,NB-2025-014 usage
Oct 2025,2025-10-31,NB-2025-014,Nimbus Networks,REV-ARR-014,1200 Unbilled Receivable,2600.00,,NB-2025-014 usage
Nov 2025,2025-11-30,NB-2025-014,Nimbus Networks,REV-ARR-014,4000 Subscription Revenue,,800.00,NB-2025-014 platform-fee
Nov 2025,2025-11-30,NB-2025-014,Nimbus Networks,REV-ARR-014,1100 Accounts Receivable,800.00,,NB-2025-014 platform-fee
Nov 2025,2025-11-30,NB-2025-014,Nimbus Networks,REV-ARR-014,4100 Usage Revenue,,2900.00,NB-2025-014 usage
Nov 2025,2025-11-30,NB-2025-014,Nimbus Networks,REV-ARR-014,1200 Unbilled Receivable,2900.00,,NB-2025-014 usage
Dec 2025,2025-12-31,NB-2025-014,Nimbus Networks,REV-ARR-014,4000 Subscription Revenue,,800.00,NB-2025-014 platform-fee
Dec 2025,2025-12-31,NB-2025-014,Nimbus Networks,REV-ARR-014,1100 Accounts Receivable,800.00,,NB-2025-014 platform-fee
Dec 2025,2025-12-31,NB-2025-014,Nimbus Networks,REV-ARR-014,4100 Usage Revenue,,3050.00,NB-2025-014 usage
Dec 2025,2025-12-31,NB-2025-014,Nimbus Networks,REV-ARR-014,1200 Unbilled Receivable,3050.00,,NB-2025-014 usage
Oct 2025,2025-10-31,NB-2025-008,Harbour Analytics,REV-ARR-008,4000 Subscription Revenue,,100.00,NB-2025-008
